Round,Pick,Ov Pick,Pos,Player,Team,Fantasy Team,Time (MDT)
14,7,124,,,,Sweeney,6/24/2020 9:45
14,8,125,,,,Fire Bridich,6/24/2020 9:45
14,9,126,,,,Oertli,6/24/2020 9:45
15,1,127,,,,Oertli,6/24/2020 9:45
15,2,128,,,,Fire Bridich,6/24/2020 9:45
15,3,129,,,,Sweeney,6/24/2020 9:45
15,4,130,,,,Heun1,6/24/2020 9:45
15,5,131,,,,Cusick,6/24/2020 9:45
15,6,132,,,,Hamilton,6/24/2020 9:45
15,7,133,,,,Jackson,6/24/2020 9:45
15,8,134,,,,Hatleback,6/24/2020 9:45
15,9,135,,,,Miles,6/24/2020 9:45
16,1,136,,,,Miles,6/24/2020 9:45
16,2,137,,,,Hatleback,6/24/2020 9:45
16,3,138,,,,Jackson,6/24/2020 9:45
16,4,139,,,,Hamilton,6/24/2020 9:45
16,5,140,,,,Cusick,6/24/2020 9:45
16,6,141,,,,Heun1,6/24/2020 9:45
16,7,142,,,,Sweeney,6/24/2020 9:45
16,8,143,,,,Fire Bridich,6/24/2020 9:45
16,9,144,,,,Oertli,6/24/2020 9:45
